0,1,2
0,29,0.0
0,28,25.8907568359375
0,27,0.0
0,26,0.0
0,25,0.0
0,24,0.0
0,23,0.0
0,22,0.0
0,21,0.0
0,20,0.0
0,19,0.0
0,18,0.0
0,17,0.0
0,16,0.0
0,15,0.0
0,14,0.0
0,13,0.0
0,12,0.0
0,11,0.0
0,10,0.0
0,9,0.0
0,8,0.0
0,7,0.0
0,6,0.0
0,5,0.0
0,4,0.0
0,3,0.0
0,2,0.0
0,1,0.0
1,29,23.264365234375
1,28,72051.17
1,27,0.0
1,26,0.0
1,25,400.3487109375
1,24,2058.51171875
1,23,0.0
1,22,72.968984375
1,21,1259.75578125
1,20,0.0
1,19,24.6733984375
1,18,0.0
1,17,0.0
1,16,0.0
1,15,2021.2875
1,14,0.0
1,13,24.9581005859375
1,12,0.0
1,11,0.0
1,10,26.83908935546875
1,9,0.0
1,8,0.0
1,7,8014.611875
1,6,0.0
1,5,262.39345703125
1,4,2072.16171875
1,3,444.1826953125
1,2,223.4038671875
1,1,0.0
2,29,0.0
2,28,0.0
2,27,717248.32
2,26,0.0
2,25,0.0
2,24,0.0
2,23,46.7386376953125
2,22,0.0
2,21,0.0
2,20,0.0
2,19,0.0
2,18,0.0
2,17,0.0
2,16,0.0
2,15,0.0
2,14,0.0
2,13,0.0
2,12,0.0
2,11,0.0
2,10,0.0
2,9,0.0
2,8,0.0
2,7,0.0
2,6,3428.54625
2,5,0.0
2,4,0.0
2,3,0.0
2,2,0.0
2,1,0.0
3,29,0.0
3,28,0.0
3,27,0.0
3,26,179.1802734375
3,25,0.0
3,24,0.0
3,23,0.0
3,22,0.0
3,21,25.84736328125
3,20,0.0
3,19,0.0
3,18,0.0
3,17,0.0
3,16,0.0
3,15,25.70143310546875
3,14,0.0
3,13,0.0
3,12,0.0
3,11,0.0
3,10,0.0
3,9,0.0
3,8,0.0
3,7,0.0
3,6,0.0
3,5,0.0
3,4,0.0
3,3,0.0
3,2,0.0
3,1,0.0
4,29,0.0
4,28,2472.25796875
4,27,0.0
4,26,0.0
4,25,2141.48328125
4,24,0.0
4,23,0.0
4,22,0.0
4,21,0.0
4,20,0.0
4,19,0.0
4,18,0.0
4,17,0.0
4,16,0.0
4,15,53.686923828125
4,14,0.0
4,13,0.0
4,12,0.0
4,11,27.083271484375
4,10,0.0
4,9,0.0
4,8,0.0
4,7,54.1158154296875
4,6,0.0
4,5,0.0
4,4,27.0197314453125
4,3,26.89111083984375
4,2,0.0
4,1,0.0
5,29,24.879638671875
5,28,8436.235
5,27,0.0
5,26,57.2600537109375
5,25,727.43359375
5,24,7704.56
5,23,0.0
5,22,0.0
5,21,296.1568359375
5,20,0.0
5,19,27.71341552734375
5,18,0.0
5,17,0.0
5,16,0.0
5,15,704.685390625
5,14,0.0
5,13,0.0
5,12,86.228798828125
5,11,510.6426171875
5,10,55.310458984375
5,9,0.0
5,8,29.46636474609375
5,7,1342.10890625
5,6,0.0
5,5,0.0
5,4,737.86515625
5,3,104.5234375
5,2,380.6603515625
5,1,0.0
6,29,0.0
6,28,0.0
6,27,0.0
6,26,0.0
6,25,0.0
6,24,0.0
6,23,1456.803125
6,22,0.0
6,21,0.0
6,20,0.0
6,19,0.0
6,18,0.0
6,17,0.0
6,16,0.0
6,15,0.0
