0,1,2
0,30,0.0
0,29,0.007321832096756865
0,28,0.0
0,27,0.0
0,26,0.0
0,25,0.0
0,24,0.0
0,23,0.0
0,22,0.0
0,21,0.0
0,20,0.0
0,19,0.0
0,18,0.0
0,17,0.0
0,16,0.0
0,15,0.0
0,14,0.0
0,13,0.0
0,12,0.0
0,11,0.0
0,10,0.0
0,9,0.0
0,8,0.0
0,7,0.0
0,6,0.0
0,5,0.0
0,4,0.0
0,3,0.0
0,2,0.0
0,1,0.0
1,30,19.183852930861832
1,29,20.375865118883958
1,28,0.0
1,27,0.0
1,26,5.847326356733151
1,25,7.488380185462312
1,24,0.0
1,23,0.0
1,22,4.441202472153655
1,21,6.8055839364105575
1,20,0.0
1,19,1.7552182005000119
1,18,0.0
1,17,0.0
1,16,0.0
1,15,0.9574440420161994
1,14,0.0
1,13,5.817656427155937
1,12,0.0
1,11,0.0
1,10,1.85173811568991
1,9,0.0
1,8,0.0
1,7,0.0
1,6,6.7405019709458935
1,5,0.0
1,4,17.668845709598564
1,3,1.0409489612873566
1,2,1.8636911703666597
1,1,1.0234209644315835
2,30,0.0
2,29,0.0
2,28,97.75838176672224
2,27,0.0
2,26,0.0
2,25,0.0
2,24,3.1085690709686755
2,23,0.0
2,22,0.0
2,21,0.0
2,20,0.0
2,19,0.0
2,18,0.0
2,17,0.0
2,16,0.0
2,15,0.0
2,14,0.0
2,13,0.0
2,12,0.0
2,11,0.0
2,10,0.0
2,9,0.0
2,8,0.0
2,7,0.0
2,6,0.0
2,5,0.12858689206242715
2,4,0.0
2,3,0.0
2,2,0.0
2,1,0.0
3,30,0.0
3,29,0.0
3,28,0.0
3,27,40.43936561448548
3,26,0.0
3,25,0.0
3,24,0.0
3,23,0.0
3,22,0.0
3,21,0.13963531897499923
3,20,0.0
3,19,0.0
3,18,0.0
3,17,0.0
3,16,0.0
3,15,0.01217426219580785
3,14,0.0
3,13,0.0
3,12,0.0
3,11,0.0
3,10,0.0
3,9,0.0
3,8,0.0
3,7,0.0
3,6,0.0
3,5,0.0
3,4,0.0
3,3,0.0
3,2,0.0
3,1,0.0
4,30,0.0
4,29,0.6991474935151788
4,28,0.0
4,27,0.0
4,26,31.27761196891019
4,25,0.0
4,24,0.0
4,23,0.0
4,22,0.0
4,21,0.0
4,20,0.0
4,19,0.0
4,18,0.0
4,17,0.0
4,16,0.0
4,15,0.025430437458014165
4,14,0.0
4,13,0.0
4,12,0.0
4,11,0.3872423696695593
4,10,0.0
4,9,0.0
4,8,0.0
4,7,0.0
4,6,0.045512841576392966
4,5,0.0
4,4,0.0
4,3,0.0135733428176774
4,2,0.11282908218274662
4,1,0.0
5,30,20.515811389902083
5,29,2.3857431665746445
5,28,0.0
5,27,12.923075753254556
5,26,10.624591785363654
5,25,28.027372356539086
5,24,0.0
5,23,0.0
5,22,0.0
5,21,1.5999293159143237
5,20,0.0
5,19,1.9714791804959835
5,18,0.0
5,17,0.0
5,16,0.0
5,15,0.33379557769479323
5,14,0.0
5,13,0.0
5,12,1.7059520975139402
5,11,7.301276629303649
5,10,3.8160938972693335
5,9,0.0
5,8,0.0
5,7,17.2199244421505
5,6,1.1287493229735674
5,5,0.0
5,4,0.0
5,3,0.3706660349038313
5,2,0.4385569487979993
5,1,1.7438184442438207
6,30,0.0
6,29,0.0
6,28,0.0
6,27,0.0
6,26,0.0
6,25,0.0
6,24,96.89142345968914
6,23,0.0
6,22,0.0
6,21,0.0
6,20,0.0
6,19,0.0
6,18,0.0
6,17,0.0
6,16,0.0
6,15,0.0
6,14,0.0
6,13,0.0
6,12,0.0
6,11,0.0
6,10,0.0
6,9,0.0
6,8,0.0
6,7,0.0
6,6,0.0
6,5,0.14759225464669293
6,4,0.0
6,3,0.0
6,2,0.0
6,1,0.0
7,30,0.0
7,29,0.014486504651617108
7,28,0.0
7,27,11.547821134634788
7,26,0.0
7,25,0.0
7,24,0.0
7,23,0.0
7,22,60.03950565295738
7,21,0.13682964231732245
7,20,0.0
7,19,0.0
7,18,0.0
7,17,0.0
7,16,0.0
7,15,0.09728125619040925
7,14,0.0
7,13,0.0
7,12,0.0
7,11,0.0
7,10,0.0
7,9,0.0
7,8,0.0
7,7,0.0
7,6,0.04335151813584556
7,5,0.0
7,4,0.0
7,3,0.0
7,2,0.0
7,1,0.0
8,30,0.0
8,29,0.9786921613382595
8,28,0.0
8,27,6.37934967506234
8,26,0.0
8,25,0.38709942390320273
8,24,0.0
8,23,0.0
8,22,0.0
8,21,1.48688071952074
8,20,0.0
8,19,3.5879282790320066
8,18,0.0
8,17,0.0
8,16,0.0
8,15,0.3187773961875179
8,14,0.0
8,13,0.0
8,12,0.0
8,11,0.0
8,10,0.0
8,9,0.0
8,8,0.0
8,7,0.0
8,6,0.31225547807948206
8,5,0.0
8,4,5.607057787538869
8,3,0.013436469807200355
8,2,0.23643940382688353
8,1,0.0
9,30,0.0
9,29,0.0634374309974968
9,28,0.0
9,27,0.0
9,26,0.0
9,25,0.09995742004137503
9,24,0.0
9,23,0.0
9,22,0.0
9,21,0.0
9,20,40.632999499739554
9,19,1.9555637717877044
9,18,0.0
9,17,0.0
9,16,0.0
9,15,0.0
9,14,0.0
9,13,0.0
9,12,0.0
9,11,0.0
9,10,0.0
9,9,0.0
9,8,0.0
9,7,0.0
9,6,0.0
9,5,0.0
9,4,0.0
9,3,0.0
9,2,0.0
9,1,0.0
10,30,0.0
10,29,0.061265239619959104
10,28,0.0
10,27,0.0
10,26,0.3787807849747803
10,25,0.2527380712028677
10,24,0.0
10,23,0.0
10,22,1.4968477430395077
10,21,0.2676888152584841
10,20,0.0
10,19,5.299568847656467
10,18,0.0
10,17,0.0
10,16,0.0
10,15,0.06875174232931618
10,14,0.0
10,13,0.0
10,12,0.0
10,11,0.0
10,10,0.0
10,9,0.0
10,8,0.0
10,7,0.0
10,6,0.1207564096215969
10,5,0.0
10,4,1.6560388938725448
10,3,0.0998166070319456
10,2,0.10379175316849283
10,1,0.0
11,30,0.0
11,29,0.0
11,28,0.0
11,27,0.0
11,26,0.0
11,25,0.0
11,24,0.0
11,23,0.0
11,22,0.0
11,21,0.0
11,20,0.0
11,19,0.0
11,18,0.0
11,17,0.0
11,16,0.0
11,15,0.0
11,14,0.0
11,13,0.0
11,12,0.0
11,11,0.0
11,10,0.0
11,9,0.0
11,8,0.0
11,7,0.0
11,6,0.0
11,5,0.0
11,4,0.0
11,3,0.0
11,2,0.0
11,1,0.0
12,30,0.0
12,29,0.02393478762100607
12,28,0.0
12,27,0.0
12,26,0.0
12,25,0.0
12,24,0.0
12,23,0.0
12,22,0.0
12,21,0.0
12,20,0.0
12,19,0.0
12,18,0.0
12,17,12.57898638113516
12,16,0.0
12,15,0.0
12,14,0.0
12,13,0.0
12,12,0.0
12,11,0.0
12,10,0.0
12,9,0.0
12,8,0.0
12,7,16.085707789564804
12,6,0.024444373132395253
12,5,0.0
12,4,0.0
12,3,0.0
12,2,0.0
12,1,0.0
13,30,0.0
13,29,0.0
13,28,0.0
13,27,0.0
13,26,0.0
13,25,0.0984303228760118
13,24,0.0
13,23,0.0
13,22,0.0
13,21,0.0
13,20,0.0
13,19,6.32587737706784
13,18,0.0
13,17,0.0
13,16,48.73875612184096
13,15,0.0
13,14,0.0
13,13,0.0
13,12,0.0
13,11,0.42415633285702414
13,10,0.0
13,9,0.0
13,8,0.0
13,7,0.0
13,6,0.0
13,5,0.0011036839819315632
13,4,1.998032398566475
13,3,0.0
13,2,0.0
13,1,0.0
14,30,20.372081730666636
14,29,3.1593061215740406
14,28,0.0
14,27,0.0
14,26,0.0
14,25,10.353085938086164
14,24,0.0
14,23,0.0
14,22,6.088656244805142
14,21,21.360065870294996
14,20,4.074018787274158
14,19,10.553716308893993
14,18,0.0
14,17,0.0
14,16,0.0
14,15,33.29959624439743
14,14,0.0
14,13,0.0
14,12,0.0
14,11,1.1181787193895378
14,10,1.8508372848611157
14,9,6.218194058222106
14,8,0.0
14,7,0.0
14,6,11.085838961904015
14,5,0.0
14,4,5.064114633408814
14,3,5.909387089663521
14,2,12.796570571853874
14,1,12.839901354279965
15,30,0.0
15,29,0.0
15,28,0.10553003057633106
15,27,0.0
15,26,0.0
15,25,0.0
15,24,0.0
15,23,0.0
15,22,0.0
15,21,0.0
15,20,0.0
15,19,0.0
15,18,0.0
15,17,0.0
15,16,0.0
15,15,0.0
15,14,99.14554611463001
15,13,0.0
15,12,0.0
15,11,0.0
15,10,0.0
