Year,dry,irr
2010,83.56158070647247,6.950322196877289
2011,82.28334368911023,7.081005262291516
2012,82.34070292612776,7.159139581530791
2013,82.44031941588244,7.247960651961591
2014,82.47311461817849,7.363234033999702
2015,82.42890115411166,7.516948823387205
2016,82.30017800094934,7.716575693682316
2017,82.25067165549339,7.726720353197298
2018,82.20183737595706,7.76492724998995
2019,82.08508547833311,7.927921789301419
2020,82.09834242343098,7.973404121158351
2021,81.77784966405792,8.142279324038453
2022,81.52791292662519,8.29870152887919
2023,81.07794236388605,8.555184312335774
2024,80.66493450300405,8.832962788366626
2025,80.37824054133361,8.987967201391534
2026,80.18005103197136,9.184456953189935
2027,79.62029813412377,9.46076926234909
2028,79.15097449404156,9.645111219903145
2029,78.29568202940585,10.00443943784658
2030,77.72357624440585,10.139042407933728
2031,77.66792257490631,10.15988293427972
2032,77.58760880607939,10.1976896497664
2033,77.46701641597751,10.271054663440452
2034,77.35948720618119,10.327611283051166
2035,76.49546082734923,10.581889515247775
2036,75.53086638602306,10.778753488126172
2037,74.5745023117763,11.005569558382781
2038,73.85911241284359,11.09480142136324
2039,73.0871201398976,11.180433690529721
2040,72.28968486945709,11.25493823823718
2041,71.74689998319097,11.341016151193374
2042,71.03636648630588,11.380040939550899
2043,70.34158389699445,11.470501344531808
2044,69.5948842733648,11.499406531638897
2045,68.74731504101152,11.607633467691775
2046,67.77012188815803,11.799153264703033
2047,66.71470697780046,11.963870189524501
2048,65.70975788027687,11.964969976125365
2049,64.81544998849283,11.958258290734875
2050,64.23631072310822,11.996721947508188
